# 20160802-20160809,,,,,,,,
,,,,,,,,
经销商,访问日期,PV,UV,平均页面停留时间,进入次数,跳出百分比,退出百分比,价值
/point/pages/scan.html?dealerCode=10230,2016080711,4,2,0:00:05,2,50.00%,75.00%,US$0.00 
/point/pages/scan.html?dealerCode=10230,2016080911,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10290,2016080413,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10300,2016080211,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10300,2016080814,1,1,0:00:05,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10300,2016080911,2,1,0:00:05,1,0.00%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=10310,2016080316,1,0,0:00:05,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10310,2016080320,1,1,0:00:05,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10310,2016080512,1,1,0:00:05,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10310,2016080710,2,1,0:00:05,0,0.00%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=10310,2016080808,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10320,2016080817,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10330,2016080409,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10330,2016080521,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10330,2016080612,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10330,2016080713,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10380,2016080213,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10380,2016080215,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10380,2016080616,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10390,2016080417,1,1,0:00:05,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10390,2016080909,4,2,0:00:05,1,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=10430,2016080212,1,1,0:00:05,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10430,2016080714,1,1,0:00:05,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10430,2016080908,1,1,0:00:05,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10440,2016080210,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10470,2016080717,2,2,0:00:05,2,50.00%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=10490,2016080417,2,2,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10490,2016080712,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10490,2016080814,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10500,2016080618,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10500,2016080711,1,0,0:00:05,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10520,2016080612,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10530,2016080216,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10580,2016080409,2,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10580,2016080711,2,1,0:00:05,0,0.00%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=10680,2016080414,2,2,0:00:05,2,50.00%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=10680,2016080919,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080415,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080608,2,2,0:00:05,2,50.00%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080814,3,2,0:00:05,2,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=10720,2016080412,2,2,0:00:05,2,50.00%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=10720,2016080509,3,1,0:00:05,1,0.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=10720,2016080610,2,2,0:00:05,1,100.00%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=10720,2016080907,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10770,2016080515,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10810,2016080422,2,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10810,2016080715,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10860,2016080413,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10860,2016080512,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10860,2016080709,2,1,0:00:05,1,0.00%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=10880,2016080715,1,1,0:00:05,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10890,2016080609,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10890,2016080814,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
